島村楽器 川崎ルフロン店,神奈川県,川崎市川崎区,日進町 川崎市川崎区 日進町1-11 川崎ルフロン7F,044-221-5261,3000,30,10000,"◆レッスン形態により料金は異なります。
https://www.shimamura.co.jp/lesson/course/violin/

『音楽を楽しむ人を1人でも多く創りたい』、1962年に島村楽器が創業して以来、一貫して掲げている理念です。
楽器を演奏する楽しさを、1人でも多くのお客さまにレッスンを通してお伝えし、生活の中で音楽をより身近に楽しんでいただくことをコンセプトとした音楽教室作りを目指しております。

島村楽器では、お子さまから大人層まで幅広い世代のお客さまに長くお楽しみいただけるよう、独自のレッスンシステムや楽器コースを開発して参りました。
お子さま向けレッスンでは、最初から良い楽器で演奏する体験ができるよう、島村楽器オリジナルのお子さまサイズのギター・ベース・ドラムを使ってレッスンを受講いただく「キッズミュージシャンコース」、大人の方向けのレッスンでは、通いやすい予約制個人レッスン「ミュージックサロン」など…。
その他にも、最近では「テルミン」や「スチールパン」、「弾き語り」など、新規の楽器コースも積極的にレッスン展開をし、常に新しい楽しみ方をご提案させていただいております。

レッスンは、お客さまのご希望にお応えできるレッスンをご提供することを一番に考え、講師・インストラクターが、お1人お1人のご希望や目的に合わせたオーダーメイドのレッスンをご提案させていただいております。
また、演奏技術をお教えするのはもちろん、音楽そのものを幅広くお楽しみいただける場として音楽教室を位置づけておりますので、発表会やコンサートなど数多くのイベントを開催しております。レッスン成果の発表とともに、ご自身の人生の彩りやステップアップのための目標としてもイベントにご参加いただけるよう、スタッフ全員で真摯に取り組み、お客さまのサポートをさせていただいております。

島村楽器では、音楽教室のレッスンを通して、多くのお客さまに音楽をお楽しみいただくお手伝いをさせていただきたいと心から願っております。",https://www.shimamura.co.jp/shop/kawasaki/,https://www.shimamura.co.jp/img/shop/gallery/kawasaki/image/shop02.jpg,
川上楽器 溝ノ口センター (ヤマハ音楽教室),神奈川県,川崎市高津区,溝口１丁目９ー１ 7階8階 三井住友銀行ビル,044-811-5881,3390,30,10000,"大人から子供まで30コース以上誇る、東急田園都市沿線でNo.1の音楽教室です。
レッスン環境・講師どれをとってもお客様満足度120%！
あなたも、この溝ノ口センターで、音楽のある毎日を始めてみませんか。応援致します。",https://www.kawakami-gakki.com/school/mizonokuchi/,https://www.kawakami-gakki.com/school/mizonokuchi/wp-content/uploads/sites/8/2016/11/1.png,
カワイ音楽教室 溝ノ口センター,神奈川県,川崎市高津区,溝口１丁目８ー５ フジモトビル 4F,044-811-4033,3250,30,10000,"「音楽は人間が豊かになる為の、もっとも栄養価の高い糧である」という信念のもとに、60年以上の実績を積み重ねながら、
教育システム構築と指導方法の探求を行なってまいりました。
子どもから大人の方まで、「音楽する人（生徒）を育てる」という一貫した姿勢により、対象年齢に応じたコースを展開しています。",http://music.kawai.jp/po/sp/local/view.aspx?id=0136,https://music2.kawai.jp/display/index/img/1img20/type/r,
サウンドパレット二子 ぽこ あ ぽこ,神奈川県,川崎市高津区,二子４丁目１ー５,044-844-6711,,30,,"古い歴史を持っている弦楽器の代表、ヴァイオリン。 
クラシックのみならず、ポピュラー、ジャズでも注目を集めています！

小さなお子様の音感教育はもちろん、音符の読めない方でも、全くの初心者の大人の方でも、まずは無料体験からお気軽にはじめてみませんか？

無理なく身につけられるよう、優しく丁寧にレッスンしていきます♪
お気軽にお問合せください♪",http://www.ensen-ado.com/poco-a-poco/,,http://www.ensen-ado.com/poco-a-poco/slide_img/top_pic02.jpg
ザーラ カンパニー,神奈川県,川崎市高津区,久本１丁目１６ー３０,044-866-9935,,,,,https://zala.xsrv.jp/zala_company/,,
プレミアム音楽教室 溝の口校,神奈川県,川崎市高津区,久本３丁目１ー５ ミュージション溝の口2F,044-833-0329,,,,,http://premium-music.com/,,
クレッシェレ音楽教室,神奈川県,川崎市多摩区,登戸２７７７ー２ N-100ビル 104,044-455-5500,,,,,http://crescere-music.info/,,
片平バイオリン教室,神奈川県,川崎市麻生区,片平 片平1790ー6 川崎市麻生区 japan,080-3248-2852,,,,,https://masukojimasuko.jimdo.com/,,
菊池ヴァイオリン ピアノ教室,神奈川県,川崎市麻生区,白鳥４丁目５ー２,044-281-4308,,,,,https://kikuchi-mc.com/,,
ミュージックスクール鷺沼 ヤマハミュージック,神奈川県,川崎市宮前区,小台１丁目２０ー１ アンビジネスＰ3F,044-862-5026,,,,,https://www.yamahamusic.jp/lesson/music_school_saginuma.html,,
